system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
optispeech,-11.08127,2.75023,0.09523809523798739,0.0737885462561879,0.9631581707572897,0.9431246066708622,0.922278162366268,0.927391441157961,0.9392624728850324,0.9262472885032538
Edge-TTS,-10.92675,2.75393,0.19411812693751399,0.2059471365635573,0.8629058573992495,0.8947626040137053,0.8504650024473812,0.8584801762114538,0.8127953471464923,0.7197382769901853
minimax_speech-02-turbo,-11.02915,2.74086,0.12444933920734334,0.1818181818181817,0.9534775063409424,0.932819383259912,0.9021492457615805,0.8534741690028034,0.8657961552412042,0.8879216539717084
Llasa-1B-Multilingual,-11.06328,2.67872,0.13527900146886596,0.1574889867839805,0.9403680249632892,0.92903359030837,0.8833058002936857,0.8828469162995595,0.8712121212121212,0.8300865800865801
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.16706714724360347,0.0909090909090908,0.9278467494326526,0.9535442531037244,0.8937892137231344,0.9204044853824588,0.878853826623141,0.9314472252448314
DeepGram,-11.17381,2.62221,0.12730461739269194,0.157488986784906,0.9577826725403819,0.9358786098874204,0.9086310980584108,0.9140969162995596,0.8916757542711742,0.8298800436205016
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.11111111111110138,0.0881057268712717,0.9620655898188938,0.9727116984826236,0.911200848425518,0.9281693587860989,0.8970482361411086,0.9125269978401728
kokoro,-11.13242,2.85862,0.12560862508761986,0.1321585903070981,0.9586134940876421,0.9556573150939022,0.9056244686606383,0.915748898678414,0.8824163969795037,0.8349514563106796
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.0683153117075165,0.0909090909090912,0.9773394740355092,0.947436924309171,0.9618041649979977,0.919303163796556,0.9836779107725789,0.9292709466811752
Veena,-11.30142,2.76771,0.09040014684297316,0.105726872245475,0.9653772026431717,0.9620732378854624,0.9289188693098384,0.9454845814977972,0.9206349206349206,0.8928571428571429
Marvis-TTS,-11.07228,2.7861,0.06020558003014167,0.2000000000003107,0.9790014684287812,0.9240088105726872,0.9698972099853158,0.873568281938326,0.9401241328952171,0.9463307776560788
Kyutai-TTS,-11.10458,2.69058,0.1141703377384156,0.1541850220255072,0.9579952082850297,0.9363552051936008,0.917806631115233,0.914647577092511,0.8558072635742539,0.8327939590075513
facebook_mms-tts-eng,-11.25166,2.6995,0.1049926578570044,0.1024229074873087,0.9597201827378039,0.9626162506118452,0.927231195953663,0.9210107684777288,0.875089992800576,0.8984881209503239
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.08616530312516063,0.0495594713653781,0.9743549402139711,0.9904027690371304,0.9336584854206,0.9752202643171806,0.9616775126536514,0.9511930585683296
Indri-TTS-0.1,-11.05397,2.73531,0.13451856513532678,0.0814977973582911,0.9425477239353892,0.9693989930774072,0.8937749108453955,0.9553964757709252,0.8369486623282719,0.9121475054229936
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.04827459618265587,0.0625,0.9905240455212923,0.973430616740088,0.9670521292217327,0.9456222466960352,0.9754689754689755,0.9534632034632036
Supertonic,-11.13805,2.78536,0.0644273127755568,0.125,0.9738895007342143,0.969920154185022,0.9505781938325991,0.9204295154185024,0.9632034632034632,0.9642857142857144
