system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Microsoft VibeVoice Large,-11.20791,2.80826,0.12768852034178427,0.2352941176470588,0.9204241167832773,0.8701736201088366,0.8931286170856008,0.8268657683337652,0.8468468468468467,0.7167567567567568
Indri-TTS-0.1,-11.05397,2.73531,0.10499265785629219,0.0814977973582911,0.9574680092301238,0.9693989930774072,0.9198132997692469,0.9553964757709252,0.8651482284887925,0.9121475054229936
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.09090909090909993,0.0909090909090912,0.971499132292084,0.947436924309171,0.9360065411827527,0.919303163796556,0.96227783822996,0.9292709466811752
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.11216793485474456,0.0909090909090908,0.9407956214123615,0.9535442531037244,0.9016820184221066,0.9204044853824588,0.8944504896626769,0.9314472252448314
Veena,-11.30142,2.76771,0.07957048458193616,0.105726872245475,0.9712279735682818,0.9620732378854624,0.9438325991189428,0.9454845814977972,0.8896103896103896,0.8928571428571429
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.06969792322176577,0.0495594713653781,0.9857090413257814,0.9904027690371304,0.9603786448500106,0.9752202643171806,0.9450469992769341,0.9511930585683296
Marvis-TTS,-11.07228,2.7861,0.0833333333330851,0.2000000000003107,0.9734948604992658,0.9240088105726872,0.9583333333333334,0.873568281938326,0.9171230376049652,0.9463307776560788
Supertonic,-11.13805,2.78536,0.09407121879559784,0.125,0.9696677679882525,0.969920154185022,0.9375458883994127,0.9204295154185024,0.9375901875901876,0.9642857142857144
facebook_mms-tts-eng,-11.25166,2.6995,0.08113069016151633,0.1024229074873087,0.9679800946320771,0.9626162506118452,0.9395292869962472,0.9210107684777288,0.8992080633549314,0.8984881209503239
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.04185022026406247,0.0625,0.991166483113069,0.973430616740088,0.9790748898678414,0.9456222466960352,0.9588744588744588,0.9534632034632036
