sample_id,label,system_id,cos_pre_encoder,cos_encoder_feat,cos_gat_pre,cos_gat_l0,cos_gat_l1,cos_gat_l2,cos_bilstm
204,1,A06,1.000000,0.963044,0.934903,0.028076,0.006043,-0.013230,-0.049684
205,1,A04,1.000000,0.984735,0.968117,0.040356,0.022307,0.056929,-0.016184
206,1,A05,1.000000,0.960609,0.913358,0.013556,0.019057,0.026724,-0.036443
207,0,-,1.000000,0.972098,0.942553,0.030831,-0.068549,0.044491,-0.029172
208,1,A05,1.000000,0.952173,0.944620,0.026287,0.059273,-0.006645,-0.043979
209,1,A03,1.000000,0.951775,0.919306,0.043862,-0.018280,0.056044,-0.010500
210,1,A06,1.000000,0.972469,0.923176,0.012674,0.021906,-0.023533,-0.040802
211,1,A06,1.000000,0.960240,0.943663,-0.004625,0.080852,-0.020662,-0.058351
212,1,A02,1.000000,0.969779,0.946799,0.038032,-0.027019,0.024019,-0.038527
213,1,A05,1.000000,0.988126,0.978940,0.022198,-0.068226,-0.024995,-0.036086
214,1,A06,1.000000,0.986828,0.962495,-0.040607,-0.040934,-0.049990,-0.011493
215,1,A03,1.000000,0.982457,0.949416,0.019740,0.004745,0.067629,-0.015789
216,1,A04,1.000000,0.974127,0.955456,0.069592,0.008447,0.030651,-0.027122
217,1,A01,1.000000,0.985466,0.972469,-0.004845,-0.030050,0.058718,-0.032691
218,1,A03,1.000000,0.959583,0.943503,0.050055,-0.010883,0.056903,-0.042161
219,1,A06,1.000000,0.976301,0.938034,0.007921,0.026437,0.006500,-0.033955
220,1,A04,1.000000,0.962762,0.952701,-0.008701,0.035253,0.028146,-0.021773
221,1,A03,1.000000,0.992937,0.979236,0.070257,0.023548,0.060178,-0.020542
222,1,A06,1.000000,0.987883,0.962913,0.040147,0.035086,-0.015078,-0.032612
223,1,A01,1.000000,0.986982,0.971441,-0.006477,0.015242,0.051243,-0.026570
224,1,A04,1.000000,0.957047,0.900737,0.026923,0.026941,-0.008068,-0.017247
225,1,A04,1.000000,0.979741,0.961950,0.023060,0.030573,0.020207,-0.021667
226,1,A05,1.000000,0.973520,0.949672,-0.005593,0.031383,0.006303,-0.028680
227,1,A04,1.000000,0.979491,0.954326,0.001462,0.017275,0.071362,-0.029908
228,1,A06,1.000000,0.986845,0.958880,0.019573,-0.008081,-0.050454,-0.002248
229,1,A03,1.000000,0.979943,0.963527,-0.014383,0.006059,0.050120,-0.023862
230,1,A06,1.000000,0.976919,0.935080,-0.015989,-0.024416,-0.028013,-0.056370
