winner,rho_discovery,rho_confirm,p_confirm
sd_along,0.5768631813125694,0.6076612903225808,0.0002882807276302504
sd_along,0.6249165739710789,0.403225806451613,0.024495455654071113
sd_along,0.7406006674082313,0.4673387096774194,0.008030980257678467
sd_along,0.5350389321468298,0.6866935483870968,1.9918681196418417e-05
sd_along,0.7054505005561735,0.48870967741935495,0.005276436178392421
vel_entropy_L9,0.49321468298109006,0.297983870967742,0.10349202435733829
sd_along,0.6151279199110122,0.5725806451612904,0.0007624264137441109
sd_along,0.6106785317018909,0.5048387096774194,0.0037745908109266396
sd_along,0.6249165739710789,0.567741935483871,0.0008645637978923987
vel_entropy_L9,0.48075639599555064,0.2270161290322581,0.21939342327301328
rog_L0,0.4642936596218019,0.3713709677419355,0.039690801012647874
sd_along,0.6867630700778643,0.5020161290322581,0.004007111447569066
sd_along,0.6240266963292548,0.5524193548387096,0.0012714653630320318
vel_entropy_L9,0.48075639599555064,0.217741935483871,0.2393153966834326
sd_along,0.671635150166852,0.5604838709677421,0.0010402703030454334
sd_along,0.6120133481646273,0.5362903225806452,0.001871628635480281
sd_along,0.6440489432703003,0.6096774193548388,0.0002716618685124425
sd_along,0.7067853170189099,0.42822580645161296,0.01624579923540243
sd_along,0.46651835372636263,0.6689516129032258,3.886335956856708e-05
sd_along,0.49365962180200224,0.656451612903226,6.0641230802020824e-05
dist_bona_centroid_L12,0.4838709677419355,0.05161290322580646,0.7827454610710354
vel_entropy_L9,0.6164627363737486,0.11209677419354838,0.5482546425888183
sd_along,0.6164627363737486,0.4044354838709678,0.024029539557076093
sd_along,0.5457174638487208,0.6346774193548388,0.0001256546306387652
s_along,0.6053392658509456,0.051209677419354845,0.784402860023638
sd_along,0.5123470522803114,0.49435483870967745,0.0047012453469172585
sd_along,0.5719688542825361,0.5689516129032259,0.0008379646541111086
twonn_id_L9,0.4304783092324805,0.13709677419354843,0.4620729162761894
rog_L0,0.6507230255839822,0.2685483870967742,0.14408187701688063
sd_along,0.6244716351501668,0.5935483870967742,0.000432086891455326
sd_along,0.5737486095661846,0.6403225806451613,0.00010458773034544912
rog_L0,0.5977753058954393,0.22217741935483873,0.22964189356543735
part_ratio_L9,0.4776418242491657,0.2520161290322581,0.1714063664396801
sd_along,0.6284760845383759,0.5665322580645162,0.0008919008225942311
sd_along,0.6889877641824249,0.4596774193548387,0.009277928335924135
sd_along,0.5345939933259177,0.6556451612903226,6.236382986015398e-05
sd_along,0.47986651835372635,0.7173387096774194,5.5931847712721635e-06
sd_along,0.5568409343715239,0.5822580645161292,0.000589440413964126
sd_along,0.7628476084538376,0.4112903225806452,0.021524765639491288
rog_L12,0.5523915461624027,0.04233870967741936,0.821087921070589
sd_along,0.5003337041156841,0.6197580645161291,0.00020064914559172697
vel_entropy_L12,0.5906562847608453,0.07620967741935485,0.6836598807274448
sd_along,0.6413793103448275,0.5036290322580645,0.0038727808838366026
sd_along,0.5457174638487208,0.6120967741935485,0.00025284450730183276
sd_along,0.5199110122358176,0.6294354838709677,0.0001485215628043359
sd_along,0.5684093437152391,0.5842741935483872,0.0005581059889551699
sd_along,0.6084538375973303,0.565725806451613,0.0009105439605025415
rog_L0,0.4460511679644049,0.3975806451612903,0.026768769868337036
sd_along,0.6204671857619577,0.5068548387096775,0.0036156969490646336
rog_L0,0.5047830923248053,0.328225806451613,0.07143542219257844
part_ratio_L9,0.6235817575083425,0.10040322580645164,0.5909843569018906
sd_along,0.5773081201334815,0.5673387096774194,0.000873593305829856
sd_along,0.5563959955506118,0.6286290322580647,0.0001523504361012025
rog_L0,0.6885428253615128,0.22862903225806452,0.21604749734808074
sd_along,0.717908787541713,0.5286290322580646,0.0022341748171797074
sd_along,0.582202447163515,0.5665322580645162,0.0008919008225942311
sd_along,0.5190211345939933,0.6245967741935484,0.00017284458966362534
sd_along,0.5256952169076751,0.5822580645161292,0.000589440413964126
sd_along,0.5377085650723026,0.6596774193548388,5.41688808254073e-05
sd_along,0.6333704115684093,0.5322580645161291,0.0020554912511308427
sd_along,0.6266963292547274,0.644758064516129,9.03106277363137e-05
sd_along,0.6387096774193549,0.5266129032258065,0.0023391464628047614
sd_along,0.5434927697441602,0.6286290322580647,0.0001523504361012025
sd_along,0.5728587319243604,0.5588709677419356,0.0010833131476520063
sd_along,0.6360400444938822,0.5330645161290323,0.0020175133997510845
sd_along,0.5937708565072302,0.44274193548387103,0.01262361465034036
sd_along,0.5946607341490544,0.5588709677419356,0.0010833131476520063
sd_along,0.5399332591768632,0.6697580645161292,3.773672898963305e-05
sd_along,0.7637374860956618,0.35887096774193555,0.04741218357779175
rog_L0,0.5706340378197998,0.31935483870967746,0.0799097948269037
sd_along,0.453615127919911,0.672983870967742,3.3517545990962306e-05
sd_along,0.5163515016685205,0.6366935483870968,0.00011773240711924201
sd_along,0.4874304783092325,0.6995967741935485,1.189239181610008e-05
vel_entropy_L9,0.6275862068965516,0.09435483870967742,0.6136391321439627
sd_along,0.54972191323693,0.6451612903225807,8.910339465950835e-05
sd_along,0.47630700778642937,0.728225806451613,3.4220384873734877e-06
sd_along,0.5648498331479421,0.6068548387096775,0.0002951765339656357
sd_along,0.6845383759733037,0.5088709677419355,0.0034625944638663627
sd_along,0.5759733036707452,0.5842741935483872,0.0005581059889551699
sd_along,0.6912124582869855,0.4673387096774194,0.008030980257678467
sd_along,0.5167964404894326,0.49314516129032265,0.004819754533586758
sd_along,0.6209121245828698,0.5254032258064516,0.0024041592776355854
sd_along,0.5604004449388209,0.5778225806451613,0.0006638842610966035
vel_entropy_L12,0.5399332591768632,0.22540322580645164,0.22277440722193506
vel_entropy_L9,0.5412680756395996,0.2745967741935484,0.13492230862073065
rog_L0,0.6155728587319244,0.18266129032258066,0.3253472540271345
sd_along,0.5114571746384872,0.6423387096774195,9.786587010590443e-05
sd_along,0.6169076751946607,0.5427419354838711,0.0016071370338005542
sd_along,0.6849833147942158,0.5060483870967742,0.0036785496473568428
rog_L0,0.6836484983314793,0.29838709677419356,0.1030033808687638
sd_along,0.6129032258064516,0.5705645161290324,0.0008036176662982177
sd_along,0.6769744160177975,0.5048387096774194,0.0037745908109266396
rog_L0,0.6307007786429366,0.30120967741935484,0.09963139006107524
sd_along,0.578642936596218,0.6576612903225807,5.813715599993983e-05
twonn_id_L12,0.4981090100111235,0.30322580645161296,0.0972743596820805
sd_along,0.5906562847608453,0.5939516129032258,0.0004272303291038951
vel_entropy_L9,0.47497219132369295,0.09838709677419355,0.5984954304286771
sd_along,0.7450500556173526,0.48266129032258065,0.0059584513176847535
sd_along,0.385539488320356,0.7092741935483872,7.934704847469962e-06
sd_along,0.6129032258064516,0.5141129032258065,0.003090393380745318
sd_along,0.657842046718576,0.5092741935483871,0.00343265354213763
sd_along,0.689432703003337,0.4584677419354839,0.009489026834670858
sd_along,0.6124582869855395,0.5205645161290323,0.00268011592089785
