system,C,T,raw_eer,raw_auc,raw_bal_acc,cal_wavlm_eer,cal_wavlm_auc,cal_wavlm_bal_acc,cal_ensemble_eer,cal_ensemble_auc,cal_ensemble_bal_acc
facebook_mms-tts-eng,-11.25166,2.6995,0.1024229074873087,0.9626162506118452,0.9210107684777289,0.33039647577077286,0.7116984826235928,0.7494493392070485,0.3333333333333338,0.7049681840430739,0.7563631913852178
griffin_lim,-10.82422,2.8566,0.4,0.6585168869309839,0.6355726872246696,0.5333333333333328,0.44001468428781204,0.6068281938325991,0.5333333333333333,0.4533039647577093,0.6051762114537445
kokoro,-11.13242,2.85862,0.13215859030709817,0.9556573150939022,0.9157488986784141,0.31578947368421056,0.7185833526547647,0.7660850915835845,0.3337004405287852,0.6914560630651518,0.7549559471365639
microsoft_speecht5_tts,-11.04778,2.79557,0.25000000000025513,0.7678964757709251,0.7615638766519823,0.45925110132057956,0.5373531571218796,0.650330396475771,0.4581497797363111,0.5188142437591776,0.6409691629955947
minimax_speech-02-turbo,-11.02915,2.74086,0.18181818181818174,0.9328193832599119,0.8534741690028034,0.33920704845775385,0.6880256307569084,0.7356828193832599,0.3524229074885548,0.6800160192230676,0.7356828193832599
minimax_speech-2.6-hd,-11.40033,2.69219,0.25000000000014666,0.8198421439060205,0.8190161527165932,0.3333333333333346,0.6427129221732746,0.6808002936857562,0.3333333333333346,0.641428046989721,0.6802496328928047
optispeech,-11.08127,2.75023,0.07378854625618797,0.9431246066708622,0.927391441157961,0.31277533039828986,0.7195563247325362,0.7615638766519823,0.31828193832606166,0.7078351164254248,0.7517306482064192
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.09090909090909126,0.947436924309171,0.9193031637965559,0.2676211453727552,0.7206647977573087,0.7752803364036844,0.27272727272727276,0.7251702042450942,0.7750300360432518
parler_tts_large_v1,-10.88228,2.72001,0.10462555066136939,0.953508495909377,0.9449339207048458,0.3843612334817937,0.6439584644430459,0.7566079295154184,0.37775330396581497,0.6488357457520453,0.7736784140969163
parler_tts_mini_v0.1,-10.93578,2.702,0.10572687224609442,0.9282845296708991,0.9191500388701737,0.3359030837000202,0.6868359678673231,0.7409626846333247,0.309471365640007,0.6981083182171547,0.7462425498833894
parler_tts_mini_v1,-11.02714,2.73203,0.1420704845810204,0.9449339207048458,0.928964757709251,0.43281938325847824,0.6110499265785609,0.7384361233480177,0.3865638766524054,0.6431718061674009,0.7577092511013216
sesame_csm,-10.80728,2.79118,0.2830396475764219,0.800152490681125,0.7699932226363944,0.5330396475759488,0.5321077600813284,0.676762114537445,0.47356828193897715,0.5500677736360555,0.6696882412741444
suno_bark,-10.55239,2.80122,0.25110132158467435,0.8059314033983637,0.7673064820641913,0.4285714285714274,0.6058055380742605,0.6543423536815607,0.4285714285714274,0.6083228445563247,0.6411264946507237
suno_bark-small,-10.97017,2.74983,0.2147577092521519,0.8414096916299559,0.8381843926998112,0.40308370044004016,0.5979389553178099,0.6873033354310888,0.3997797356823646,0.6101321585903083,0.6806954059156702
vixTTS,-11.27667,2.78681,0.22577092510918198,0.8531112334801761,0.8235132158590308,0.5,0.5338656387665198,0.6734581497797356,0.4768722466951277,0.5625,0.6899779735682819
