system,s_along,sd_along,s_orth,vel_entropy_L12,rog_L12,hard_mlaad_gat,hard_aasist_zeroshot,hard_aasist_ft
Mars5|en,5.766439437866211,4.27680257251295,33.23646926879883,2.7914801041456943,10.853416442871094,0.2829478707782673,0.3635049559471366,0.305410242290749
MatchaTTS|en,7.707346439361572,2.140143552618885,25.08580684661865,2.746428511771416,10.84089994430542,0.10359765051395,0.3486784140969163,0.0633259911894272
Maya1 TTS|en,7.201733112335205,2.747249297068475,25.82393455505371,2.770981420138285,10.646034240722656,0.1301718925455645,0.2817439751230889,0.0044700699663126
MegaTTS3|en,6.951037406921387,3.526994739588562,28.81107711791992,2.7812411228732365,10.91494083404541,0.1486259702118732,0.2740717432347388,0.0327249842668344
MeloTTS|en,10.538789749145508,2.0937291690481072,23.149293899536133,2.783486909095129,10.83964729309082,0.0846888060544448,0.1395289732294137,0.0797187394103693
Metavoice-1B|en,8.718847274780273,2.176168375891159,24.50152587890625,2.817737784597227,11.020973682403564,0.216671911055171,0.3385777218376337,0.0042479546884832
Microsoft VibeVoice 1.5B|en,9.017295837402344,1.9352405421878347,24.454782485961918,2.8143586758998405,10.95327854156494,0.2631593810007906,0.4151135208403931,0.1971365638766519
Microsoft VibeVoice Large|en,7.769486427307129,2.375837935333348,25.336633682250977,2.7939304366375266,10.759161949157717,0.1653493996717629,0.3291655869396217,0.0848665457372376
MiniCPM-o-2.6|en,5.135945796966553,3.9282038558149286,25.437722206115723,2.80123703312928,10.797504901885986,0.2363252569750367,0.4356828193832599,0.0819933920704845
Nari Dia-1.6B|en,7.02365255355835,4.763595023061026,25.72266960144043,2.7583245206073848,10.691625595092772,0.0970831664664263,0.0816980376451741,0.0180216259511414
Nari Dia2|en,8.472871780395508,3.2572865567139053,24.577186584472656,2.7976076928108533,10.807401657104492,0.2688893338673074,0.2921505806968362,0.1896275530636763
NeuTTS-Air|en,8.10945177078247,3.916615847119676,26.131092071533203,2.765655478709447,10.867116928100586,0.179538362701909,0.3898678414096916,0.1711178414096915
