system,src_sym,tgt_sym,bon_mean,atk_mean,delta,abs_delta
A01,ɐ,ɛ̃,0.012910482862468537,0.011414239212797876,-0.0014962436496706605,0.0014962436496706605
A02,e,x,0.008271718000341998,0.00976715089800752,0.0014954328976655214,0.0014954328976655214
A06,tʲ,ɛɪ,0.01394668744026608,0.015440575239112497,0.0014938877988464171,0.0014938877988464171
A06,k,œ̃,0.012402310466730493,0.010909521677367013,-0.0014927887893634792,0.0014927887893634792
A02,eə,aɪ,0.01973161931147126,0.018239282583053528,-0.0014923367284177327,0.0014923367284177327
A04,k,ɛ̃,0.008060532761416557,0.006568859167876668,-0.001491673593539889,0.001491673593539889
A03,u,|,0.011532596418037439,0.010041698424162401,-0.0014908979938750375,0.0014908979938750375
A01,ɛ,oː,0.0203384097576531,0.018851421764964668,-0.0014869879926884336,0.0014869879926884336
A05,œ,œ,0.0016465143400980502,0.00016255715851339641,-0.0014839571815846537,0.0014839571815846537
A03,aɪ,ɔø,0.00713957452259754,0.008623317579733834,0.001483743057136294,0.001483743057136294
A03,ɐ,ŋ,0.008622006002758448,0.010104173219694175,0.0014821672169357276,0.0014821672169357276
A04,d,tʲ,0.0014790983404270076,0.0,-0.0014790983404270076,0.0014790983404270076
A05,d,tʲ,0.0014790983404270076,0.0,-0.0014790983404270076,0.0014790983404270076
A02,ɔ̃,ɛ,0.014975210709651654,0.016453822478411928,0.0014786117687602737,0.0014786117687602737
A06,ɐ,aʊ,0.011898582148044767,0.013376761610556221,0.001478179462511454,0.001478179462511454
A01,ɔø,ŋ,0.015597874603730084,0.017075763411206892,0.0014778888074768078,0.0014778888074768078
A01,ɛ,ŋ,0.012268286351828495,0.010791753174463552,-0.0014765331773649425,0.0014765331773649425
A01,øː,k,0.009044882444905169,0.010521213503036272,0.0014763310581311032,0.0014763310581311032
A02,ʊ,vʲ,0.008926492421254508,0.010402311503992796,0.0014758190827382882,0.0014758190827382882
A03,k,ɛ̃,0.008060532761416557,0.009533939248200932,0.001473406486784375,0.001473406486784375
A03,øː,œ̃,0.00886228181920467,0.010334352777756906,0.0014720709585522348,0.0014720709585522348
A02,ʑ,ɛɪ,0.018112950817212037,0.019583653453925157,0.0014707026367131205,0.0014707026367131205
A02,ɔː,vʲ,0.01242909796085126,0.013897580328019146,0.0014684823671678865,0.0014684823671678865
A02,|,p,0.035834876390808575,0.03436725904804895,-0.0014676173427596237,0.0014676173427596237
A03,ɡ,tʃ,0.016768007049790243,0.018234504668026338,0.001466497618236095,0.001466497618236095
A03,œ,l,0.002301426777786996,0.0037666787793183636,0.0014652520015313677,0.0014652520015313677
A05,ɛ̃,k,0.014838388317454449,0.01337317650419958,-0.001465211813254869,0.001465211813254869
A06,ɛɪ,ɹ,0.0038230104308678626,0.005282579118983168,0.0014595686881153053,0.0014595686881153053
A03,ʊ,f,0.012923911396946566,0.011464813027786914,-0.0014590983691596515,0.0014590983691596515
